ProductID,ProductDescription,ProductCategory
P11,Athletic Socks,Clothing & Apparel
P88,Jewelry Box,Accessories & Lifestyle
P49,Electric Kettle,Kitchen & Appliances
P61,Tennis Racket,Fitness & Sports
P15,Summer Dress,Clothing & Apparel
P91,Novel,Books & Stationery
P66,Boxing Gloves,Fitness & Sports
P32,Standing Desk,Home & Furniture
P38,Recliner Chair,Home & Furniture
P41,Wardrobe,Home & Furniture
P67,Exercise Bike,Fitness & Sports
P26,E-Reader,Tech & Electronics
P78,Wallet,Accessories & Lifestyle
P86,Phone Case,Accessories & Lifestyle
P14,Joggers,Clothing & Apparel
P25,Digital Camera,Tech & Electronics
P79,Sunglasses,Accessories & Lifestyle
P97,Planner,Books & Stationery
P23,4K TV,Tech & Electronics
P90,Smart Key Finder,Accessories & Lifestyle
P84,Watch,Accessories & Lifestyle
P119,Dollhouse,Toys & Games
P82,Key Organizer,Accessories & Lifestyle
P28,Home Security Camera,Tech & Electronics
P80,Leather Belt,Accessories & Lifestyle
P98,Children's Storybook,Books & Stationery
P85,Scarf,Accessories & Lifestyle
P05,Casual Sneakers,Clothing & Apparel
P39,Patio Set,Home & Furniture
P93,Science Fiction Book,Books & Stationery
P47,Microwave Oven,Kitchen & Appliances
P55,Ice Cream Maker,Kitchen & Appliances
P110,Stuffed Animal,Toys & Games
P01,Men's T-Shirt,Clothing & Apparel
P102,Self-Help Book,Books & Stationery
P48,Air Fryer,Kitchen & Appliances
P06,Running Shorts,Clothing & Apparel
P54,Rice Cooker,Kitchen & Appliances
P36,Sofa,Home & Furniture
P08,Polo Shirt,Clothing & Apparel
P09,Swimwear,Clothing & Apparel
P51,Toaster,Kitchen & Appliances
P108,Building Blocks,Toys & Games
P59,Dish Rack,Kitchen & Appliances
P31,Office Chair,Home & Furniture
P42,Storage Ottoman,Home & Furniture
P50,Cookware Set,Kitchen & Appliances
P52,Espresso Machine,Kitchen & Appliances
P76,Handbag,Accessories & Lifestyle
P71,Pull-Up Bar,Fitness & Sports
P27,VR Headset,Tech & Electronics
P37,Coffee Table,Home & Furniture
P69,Hiking Boots,Fitness & Sports
P29,Portable Power Bank,Tech & Electronics
P44,Bed Frame,Home & Furniture
P03,Jeans,Clothing & Apparel
P24,Streaming Stick,Tech & Electronics
P100,Comic Book,Books & Stationery
P21,Bluetooth Speaker,Tech & Electronics
P114,Play Kitchen Set,Toys & Games
P13,Raincoat,Clothing & Apparel
P72,Cycling Shorts,Fitness & Sports
P18,Tablet,Tech & Electronics
P94,Travel Guide,Books & Stationery
P99,History Book,Books & Stationery
P120,Toy Train Set,Toys & Games
P104,Art Book,Books & Stationery
P30,Desktop Computer,Tech & Electronics
P68,Skipping Rope,Fitness & Sports
P116,Card Game,Toys & Games
P53,Food Processor,Kitchen & Appliances
P103,Language Workbook,Books & Stationery
P17,Laptop,Tech & Electronics
P83,Luggage Set,Accessories & Lifestyle
P96,Sketchpad,Books & Stationery
P87,Umbrella,Accessories & Lifestyle
P19,Smartwatch,Tech & Electronics
P35,Bedside Table,Home & Furniture
P43,Wall Shelf,Home & Furniture
P33,Bookshelf,Home & Furniture
