PurchaseID,CustomerID,ProductID,ProductDescription,ProductCategory,PurchaseAmount,PurchaseDate
PU00001,C409,P21,Bluetooth Speaker,Tech & Electronics,678.06,2024-01-30
PU00002,C487,P50,Cookware Set,Kitchen & Appliances,266.93,2024-03-19
PU00003,C411,P28,Home Security Camera,Tech & Electronics,408.52,2024-09-22
PU00004,C476,P15,Summer Dress,Clothing & Apparel,82.26,2024-02-22
PU00005,C005,P15,Summer Dress,Clothing & Apparel,30.53,2024-08-17
PU00006,C499,P114,Play Kitchen Set,Toys & Games,52.13,2024-11-22
PU00007,C437,P76,Handbag,Accessories & Lifestyle,92.47,2024-04-07
PU00008,C102,P47,Microwave Oven,Kitchen & Appliances,79.84,2024-05-07
PU00009,C347,P78,Wallet,Accessories & Lifestyle,46.64,2024-11-26
PU00010,C407,P09,Swimwear,Clothing & Apparel,81.56,2024-05-28
PU00011,C218,P53,Food Processor,Kitchen & Appliances,174.74,2024-02-21
PU00012,C253,P08,Polo Shirt,Clothing & Apparel,93.75,2024-09-03
PU00013,C366,P05,Casual Sneakers,Clothing & Apparel,15.35,2024-05-10
PU00014,C093,P26,E-Reader,Tech & Electronics,335.84,2024-02-08
PU00016,C494,P05,Casual Sneakers,Clothing & Apparel,88.57,2024-05-28
PU00019,C470,P28,Home Security Camera,Tech & Electronics,417.48,2024-04-09
PU00021,C010,P15,Summer Dress,Clothing & Apparel,103.42,2024-06-24
PU00022,C305,P84,Watch,Accessories & Lifestyle,39.91,2024-11-19
PU00023,C243,P44,Bed Frame,Home & Furniture,408.33,2024-03-22
PU00025,C033,P104,Art Book,Books & Stationery,94.37,2024-02-02
PU00026,C182,P23,4K TV,Tech & Electronics,532.93,2024-03-12
PU00029,C096,P68,Skipping Rope,Fitness & Sports,266.61,2024-06-16
PU00030,C116,P110,Stuffed Animal,Toys & Games,14.1,2024-04-04
PU00032,C159,P53,Food Processor,Kitchen & Appliances,146.17,2024-12-07
PU00034,C122,P88,Jewelry Box,Accessories & Lifestyle,104.06,2024-08-05
PU00035,C159,P48,Air Fryer,Kitchen & Appliances,115.93,2024-04-02
PU00036,C390,P14,Joggers,Clothing & Apparel,45.72,2024-12-13
PU00037,C163,P90,Smart Key Finder,Accessories & Lifestyle,112.65,2024-02-16
PU00038,C062,P116,Card Game,Toys & Games,77.39,2024-11-15
PU00042,C260,P85,Scarf,Accessories & Lifestyle,14.75,2024-04-15
PU00043,C098,P72,Cycling Shorts,Fitness & Sports,220.94,2024-09-14
PU00044,C343,P19,Smartwatch,Tech & Electronics,82.07,2024-05-09
PU00045,C472,P52,Espresso Machine,Kitchen & Appliances,92.88,2024-11-06
PU00046,C131,P97,Planner,Books & Stationery,30.65,2024-02-10
PU00048,C197,P11,Athletic Socks,Clothing & Apparel,24.73,2024-12-01
PU00049,C441,P47,Microwave Oven,Kitchen & Appliances,44.0,2024-12-04
PU00050,C076,P83,Luggage Set,Accessories & Lifestyle,46.58,2024-03-16
PU00051,C487,P44,Bed Frame,Home & Furniture,353.73,2024-10-18
PU00053,C105,P87,Umbrella,Accessories & Lifestyle,139.04,2024-09-13
PU00055,C310,P35,Bedside Table,Home & Furniture,403.13,2024-04-22
PU00057,C171,P39,Patio Set,Home & Furniture,281.6,2024-11-18
PU00058,C353,P14,Joggers,Clothing & Apparel,110.77,2024-12-10
PU00059,C224,P48,Air Fryer,Kitchen & Appliances,285.59,2024-06-18
PU00060,C412,P76,Handbag,Accessories & Lifestyle,141.48,2024-07-26
PU00061,C442,P52,Espresso Machine,Kitchen & Appliances,436.68,2024-11-10
PU00062,C268,P79,Sunglasses,Accessories & Lifestyle,109.72,2024-12-15
PU00063,C299,P68,Skipping Rope,Fitness & Sports,256.48,2024-11-20
PU00064,C257,P29,Portable Power Bank,Tech & Electronics,348.49,2024-12-26
PU00065,C383,P86,Phone Case,Accessories & Lifestyle,87.57,2024-11-06
PU00068,C129,P94,Travel Guide,Books & Stationery,34.56,2024-10-15
PU00069,C219,P14,Joggers,Clothing & Apparel,29.75,2024-12-07
